PJ-ID,EXP-ID,"Cat1.actual, mg","Cat2.actual, mg","Cat3.actual, mg","Cat4.actual, mg","Cat5.actual, mg","Ion1.actual, ƒÊL","Ion2.actual, ƒÊL","cOct1.actual, ƒÊL","CO2, MPa","H2, MPa",Ald_Yield
Round-001,4816,0,6.8,8.3,2.3,6.2,0,232.48,583.4,5,3,0.021689993
Round-001,3859,2,0,16.4,4.5,0,102.23,175.03,583.4,5,3,0.482220333
Round-001,153,9.7,4.5,8.2,2.3,0,52.56,0,583.4,5,3,0.546489931
Round-001,4320,0,16.2,0,0,6.3,52.56,60.24,583.4,5,3,0.013805968
Round-001,3822,1.9,0,16.5,9.2,6.3,52.56,60.24,583.4,5,3,0.760035839
Round-001,4967,0,4.7,49.7,0,6.2,0,60.24,583.4,5,3,0
Round-001,4863,0,6.9,0,9.3,0,102.23,60.24,583.4,5,3,1.806823188
Round-001,6850,0,0,0,4.5,31,102.23,60.24,583.4,5,3,0.288034463
Round-001,4334,0,13.8,16.4,0,0,0,117.69,583.4,5,3,0.021607197
Round-001,679,7.8,0,0,2.4,6.2,52.56,175.03,583.4,5,3,0.504139596
Round-001,6038,0,2.2,0,0,18.7,300.99,0,583.4,5,3,5.564687349
Round-001,3634,1.8,0,57.9,0,6.2,52.56,0,583.4,5,3,0.075393843
Round-001,1582,3.8,4.7,41.2,0,0,52.56,0,583.4,5,3,0.68978373
Round-001,6309,0,0,24.7,2.2,18.7,151.99,0,583.4,5,3,0.288853118
Round-001,100,11.4,0,8.3,2.3,0,0,117.69,583.4,5,3,0.014961464
Round-001,5588,0,2.3,24.7,0,0,251.32,60.24,583.4,5,3,4.410013386
Round-001,1341,5.7,0,0,2.4,6.1,102.23,175.03,583.4,5,3,1.362282106
Round-001,6757,0,0,0,13.9,0,201.66,0,583.4,5,3,2.035059857
Round-001,172,9.7,4.6,0,0,0,151.99,0,583.4,5,3,2.478637894
Round-001,6634,0,0,8.3,2.4,43.5,52.56,0,583.4,5,3,0.42721311
Round-001,6995,0,0,0,0,6.3,0,519.41,583.4,5,3,0.029475454
